éûçè(ms),ëäëŒï˚à (w),ëäëŒï˚à (x),ëäëŒï˚à (y),ëäëŒï˚à (z),äpë¨ìx(x),äpë¨ìx(y),äpë¨ìx(z),â¡ë¨ìx-èdóÕâ¡ë¨ìx(x),â¡ë¨ìx-èdóÕâ¡ë¨ìx(y),â¡ë¨ìx-èdóÕâ¡ë¨ìx(z),Sys,Gyro,Accel,Mag
","-0.12
","0.06
","0.12
","-0.02
","-0.19
","-0.02
","0
","3
","0
","0
"

"2201
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","0.00
","-0.24
","0.00
","0
","3
","0
","0
"

"2210
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.00
","0.00
","0.00
","-0.24
","0.00
","0
","3
","0
","0
"

"2221
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.06
","0.06
","0.00
","-0.21
","0.01
","0
","3
","0
","0
"

"2227
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.06
","-0.06
","0.00
","-0.21
","-0.01
","0
","3
","0
","0
"

"2235
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","-0.06
","0.06
","0.00
","-0.21
","0.00
","0
","3
","0
","0
"

"2242
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","0.06
","-0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"2251
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.00
","0.06
","-0.03
","-0.23
","0.01
","0
","3
","0
","0
"

"2262
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","-0.06
","-0.03
","-0.23
","0.01
","0
","3
","0
","0
"

"2271
","0.7231
","-0.6898
","0.0358
","0.0004
","0.12
","-0.06
","0.19
","-0.02
","-0.21
","0.00
","0
","3
","0
","0
"

"2279
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.06
","0.06
","-0.04
","-0.21
","0.02
","0
","3
","0
","0
"

"2290
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.12
","0.12
","-0.04
","-0.21
","0.01
","0
","3
","0
","0
"

"2300
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.12
","-0.06
","-0.02
","-0.22
","0.00
","0
","3
","0
","0
"

"2311
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.19
","0.06
","-0.02
","-0.21
","-0.01
","0
","3
","0
","0
"

"2320
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","-0.06
","0.12
","-0.02
","-0.21
","-0.01
","0
","3
","0
","0
"

"2327
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","-0.06
","0.19
","-0.01
","-0.21
","-0.01
","0
","3
","0
","0
"

"2335
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.12
","-0.06
","-0.01
","-0.22
","0.01
","0
","3
","0
","0
"

"2343
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.00
","-0.06
","-0.01
","-0.20
","-0.01
","0
","3
","0
","0
"

"2352
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.00
","-0.06
","-0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"2361
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.06
","-0.06
","-0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"2370
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","-0.12
","0.00
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2378
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.12
","0.06
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2387
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.19
","-0.06
","-0.06
","-0.02
","-0.21
","0.00
","0
","3
","0
","0
"

"2398
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","-0.06
","-0.06
","-0.02
","-0.19
","0.00
","0
","3
","0
","0
"

"2408
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.00
","0.06
","-0.02
","-0.20
","-0.02
","0
","3
","0
","0
"

"2418
","0.7231
","-0.6898
","0.0358
","0.0004
","0.12
","-0.06
","-0.06
","-0.04
","-0.22
","0.02
","0
","3
","0
","0
"

"2425
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","0.19
","0.00
","-0.02
","-0.22
","0.01
","0
","3
","0
","0
"

"2434
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","-0.06
","0.00
","-0.02
","-0.21
","0.04
","0
","3
","0
","0
"

"2442
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.06
","0.00
","-0.02
","-0.18
","0.00
","0
","3
","0
","0
"

"2451
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.06
","-0.06
","-0.01
","-0.22
","0.02
","0
","3
","0
","0
"

"2460
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.00
","0.00
","-0.03
","-0.21
","0.01
","0
","3
","0
","0
"

"2470
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.12
","0.00
","-0.03
","-0.21
","0.01
","0
","3
","0
","0
"

"2481
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.06
","-0.06
","-0.01
","-0.21
","-0.01
","0
","3
","0
","0
"

"2491
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.00
","-0.06
","-0.02
","-0.22
","0.00
","0
","3
","0
","0
"

"2500
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.06
","-0.06
","-0.02
","-0.22
","0.00
","0
","3
","0
","0
"

"2510
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.06
","-0.06
","-0.01
","-0.22
","-0.02
","0
","3
","0
","0
"

"2520
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.00
","0.00
","-0.01
","-0.22
","-0.02
","0
","3
","0
","0
"

"2527
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","0.12
","-0.06
","0.00
","-0.21
","0.00
","0
","3
","0
","0
"

"2534
","0.7231
","-0.6898
","0.0358
","0.0004
","0.12
","0.25
","-0.06
","-0.01
","-0.21
","-0.01
","0
","3
","0
","0
"

"2542
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.25
","-0.06
","-0.02
","-0.22
","-0.01
","0
","3
","0
","0
"

"2550
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.19
","0.12
","-0.01
","-0.22
","-0.01
","0
","3
","0
","0
"

"2561
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.06
","0.00
","0.00
","-0.21
","-0.02
","0
","3
","0
","0
"

"2570
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.12
","-0.06
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2578
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.19
","-0.06
","-0.03
","-0.22
","0.02
","0
","3
","0
","0
"

"2589
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2599
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.00
","0.00
","-0.03
","-0.21
","0.01
","0
","3
","0
","0
"

"2610
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","-0.02
","-0.20
","0.03
","0
","3
","0
","0
"

"2620
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","-0.06
","-0.06
","0.00
","-0.22
","0.02
","0
","3
","0
","0
"

"2626
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","0.12
","-0.06
","-0.02
","-0.21
","0.00
","0
","3
","0
","0
"

"2634
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.12
","0.06
","-0.12
","-0.01
","-0.21
","0.06
","0
","3
","0
","0
"

"2641
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.06
","-0.12
","-0.02
","-0.22
","0.00
","0
","3
","0
","0
"

"2651
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.00
","0.00
","-0.02
","-0.22
","0.00
","0
","3
","0
","0
"

"2660
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.00
","-0.06
","-0.02
","-0.21
","0.01
","0
","3
","0
","0
"

"2670
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","0.19
","0.00
","-0.02
","-0.21
","0.01
","0
","3
","0
","0
"

"2679
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.31
","-0.06
","-0.03
","-0.22
","-0.01
","0
","3
","0
","0
"

"2690
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.06
","-0.06
","-0.03
","-0.23
","0.00
","0
","3
","0
","0
"

"2700
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.19
","0.19
","-0.06
","-0.03
","-0.23
","-0.04
","0
","3
","0
","0
"

"2710
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.12
","0.00
","-0.01
","-0.21
","0.00
","0
","3
","0
","0
"

"2719
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","0.12
","-0.06
","-0.01
","-0.21
","0.00
","0
","3
","0
","0
"

"2726
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.12
","0.19
","-0.06
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2734
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","0.12
","0.00
","-0.03
","-0.20
","-0.02
","0
","3
","0
","0
"

"2742
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.12
","0.00
","0.00
","-0.22
","-0.03
","0
","3
","0
","0
"

"2750
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.06
","-0.06
","0.00
","-0.23
","0.00
","0
","3
","0
","0
"

"2760
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.06
","0.12
","-0.01
","-0.22
","0.02
","0
","3
","0
","0
"

"2769
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.12
","-0.12
","-0.01
","-0.22
","0.02
","0
","3
","0
","0
"

"2779
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","-0.01
","-0.21
","0.01
","0
","3
","0
","0
"

"2790
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.12
","0.06
","0.00
","-0.22
","0.00
","0
","3
","0
","0
"

"2800
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","-0.06
","0.00
","-0.22
","0.00
","0
","3
","0
","0
"

"2809
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.00
","-0.06
","-0.02
","-0.21
","0.00
","0
","3
","0
","0
"

"2820
","0.7231
","-0.6898
","0.0358
","0.0004
","0.12
","0.00
","0.00
","-0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"2826
","0.7231
","-0.6898
","0.0358
","0.0004
","0.12
","-0.12
","-0.06
","-0.03
","-0.22
","0.01
","0
","3
","0
","0
"

"2834
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.06
","0.06
","-0.03
","-0.19
","0.01
","0
","3
","0
","0
"

"2841
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","0.06
","-0.01
","-0.22
","-0.01
","0
","3
","0
","0
"

"2850
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.19
","0.06
","0.00
","-0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"2860
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.19
","-0.06
","-0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"2870
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","-0.12
","0.12
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2877
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.25
","0.00
","-0.01
","-0.21
","0.02
","0
","3
","0
","0
"

"2889
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","-0.06
","0.00
","-0.02
","-0.18
","0.00
","0
","3
","0
","0
"

"2899
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.12
","0.00
","-0.06
","-0.02
","-0.21
","0.00
","0
","3
","0
","0
"

"2910
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.12
","0.00
","-0.04
","-0.21
","0.00
","0
","3
","0
","0
"

"2919
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","0.00
","0.06
","-0.04
","-0.21
","0.00
","0
","3
","0
","0
"

"2926
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.06
","-0.12
","-0.03
","-0.21
","0.00
","0
","3
","0
","0
"

"2933
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","0.00
","0.06
","-0.04
","-0.22
","-0.02
","0
","3
","0
","0
"

"2941
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.12
","-0.12
","0.00
","-0.23
","-0.01
","0
","3
","0
","0
"

"2950
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.12
","-0.06
","-0.02
","-0.22
","-0.01
","0
","3
","0
","0
"

"2960
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","0.06
","-0.06
","-0.04
","-0.22
","-0.01
","0
","3
","0
","0
"

"2969
","0.7231
","-0.6898
","0.0358
","0.0004
","0.12
","-0.06
","0.06
","-0.04
","-0.22
","-0.01
","0
","3
","0
","0
"

"2978
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","-0.06
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"2989
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.12
","-0.06
","0.01
","-0.01
","-0.01
","0
","3
","0
","0
"

"2999
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.00
","0.06
","0.02
","-0.22
","-0.02
","0
","3
","0
","0
"

"3010
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.12
","0.00
","0.04
","-0.01
","-0.01
","0
","3
","0
","0
"

"3019
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.12
","-0.31
","0.06
","0.04
","-0.23
","0.01
","0
","3
","0
","0
"

"3026
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.19
","0.12
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"3034
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.44
","0.12
","0.00
","-0.23
","0.03
","0
","3
","0
","0
"

"3041
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.50
","0.00
","-0.07
","-0.19
","0.01
","0
","3
","0
","0
"

"3050
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","-0.06
","-0.07
","-0.19
","0.01
","0
","3
","0
","0
"

"3059
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","-0.06
","-0.09
","-0.22
","0.03
","0
","3
","0
","0
"

"3069
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.12
","-0.25
","0.06
","-0.10
","-0.20
","0.07
","0
","3
","0
","0
"

"3078
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","-0.06
","0.06
","-0.06
","-0.19
","0.06
","0
","3
","0
","0
"

"3089
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.12
","0.00
","0.00
","-0.21
","0.03
","0
","3
","0
","0
"

"3099
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.25
","-0.06
","-0.01
","-0.20
","0.03
","0
","3
","0
","0
"

"3109
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.12
","0.00
","-0.01
","-0.24
","0.00
","0
","3
","0
","0
"

"3119
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","0.00
","0.00
","-0.01
","-0.24
","0.00
","0
","3
","0
","0
"

"3126
","0.7231
","-0.6898
","0.0358
","0.0004
","-0.06
","0.06
","-0.06
","0.01
","-0.22
","0.00
","0
","3
","0
","0
"

"3133
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.06
","-0.06
","0.00
","-0.21
","0.00
","0
","3
","0
","0
"

"3141
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","0.00
","-0.22
","-0.04
","0
","3
","0
","0
"

"3149
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","0.00
","-0.20
","-0.03
","0
","3
","0
","0
"

"3160
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.00
","-0.06
","-0.06
","0.00
","-0.20
","-0.03
","0
","3
","0
","0
"

"3169
","0.7231
","-0.6898
","0.0358
","0.0004
","0.00
","-0.19
","0.00
","0.00
","-0.01
","-0.01
","0
","3
","0
","0
"

"3177
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","0.00
","0.06
","-0.03
","-0.21
","0.00
","0
","3
","0
","0
"

"3187
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.12
","0.19
","-0.06
","-0.03
","-0.22
","-0.02
","0
","3
","0
","0
"

"3198
","0.7231
","-0.0001
","-0.0001
","-0.0001
","-0.06
","0.06
","-0.06
","-0.03
","-0.22
","-0.02
","0
","3
","0
","0
"

"3209
","0.7231
","-0.0001
","-0.0001
","-0.0001
","0.06
","-0.06
","-0.06
","-0.02
","-0.23
","-0.01
","0
","3
","0
","0
"

"3219
","0.7231
","-0.6898
","0.0358
","0.0004
","0.06
","-0.06
","0.12
","-0.01
